% This Database was generated from ergane (http://www.travlang.com).   Copyright (C) 1999 Horst Eyermann (Horst@freedict.de)    This program is free software /  you can redistribute it and/or modify   it under the terms of the GNU General Public License as published by   the Free Software Foundation /  either version 2 of the License, or   (at your option) any later version.    This program is distributed in the hope that it will be useful,   but WITHOUT ANY WARRANTY /  without even the implied warranty of   MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the   GNU General Public License for more details. 


ADN ; DNA

infiniment ; ad infinitum /  endlessly

infirme ; disabled person ; decayed /  decrepit /  dilapidated /  lapsed /  rickety ; crippled /  infirm

infirmier ; nurse

infirmière ; nurse

influence ; action /  influence

influer ; act /  affect /  influence

informer ; acquaint /  inform /  report

inférieur ; subordinate

ingrat ; thankless /  ungrateful /  unthankful

ingénieur ; engineer

injecter ; inject

injure ; abuse /  insult ; abuse

innocent ; guiltless /  innocent

inné ; congenital /  inborn /  inbred /  innate /  native ; congentital /  inborn /  inbred /  innate /  native

inondation ; flood

inonder ; flood

inquiet ; agitated /  anxious ; anxious

inscription ; accession ; entry ; superscription

inscrire ; enter

insecte ; bug /  insect

insigne ; badge /  insignia

insinuer ; allude /  hint

insister ; insist

inspecter ; inspect

inspecteur ; inspector

inspirer ; inhale ; inspire ; persuade ; advance /  suggest

installer ; install

instance ; insistence /  pressure /  urgency

instances ; insistence /  pressure /  urgency

instant ; instant /  moment

instinct ; instinct

institut ; academy ; institute

instituteur ; instructor /  teacher

institutrice ; teacher /  female teacher

instruction ; education ; directions /  instruction

instruire ; exercise /  practise ; teach

instrument ; agent /  means /  tool

insuffisance ; absence /  lack /  shortage /  shortcoming

insuffisant ; in short supply /  scanty /  scarce

insulter ; abuse /  insult /  offend

intact ; in good condition

intellectuel ; intellectual ; mental

intelligence ; intelligence ; wisdom

intelligent ; intelligent /  sagacious

intendance ; stewardship

intense ; acute /  intense /  intensive

intention ; intention /  meaning /  plan

interdire ; forbid /  prohibit

interface ; interface

interjection ; interjection

interminable ; everlasting

intermédaire ; mediation

intermédiaire ; average /  mean /  middle ; agent

international ; international

interne ; inner /  inside /  internal

interpeller ; accost /  address

interpréter ; interpret

interprète ; interpreter

interroger ; interrogate

interrompre ; interrupt ; stop

interrupteur ; switch

interruption ; interruption

intervalle ; interval

intervenir ; converse ; intervene ; come about /  happen /  occur

interview ; interview

interéssant ; advantageous

intestin ; intestine

intime ; close /  intimate

intitulé ; degree /  heading /  title

intriger ; manoeuvre

intrigue ; plot ; maneuver /  manœuvre /  manoeuvre

intriguer ; intrigue

introduction ; introduction /  preface

introduire ; advertise /  announce /  give notice ; enter /  insert /  put in ; insert /  put in /  put away /  stow ; insert

intéressant ; interesting ; curious /  interesting /  quaint

intéresser ; interest ; concern

intérieur ; inner /  inside /  internal

intérêt ; good ; concern ; interest ; advantage /  benefit

inutile ; abortive /  useless

invariable ; constant /  continual /  permanent /  sustained

invasion ; invasion

inventer ; invent

invention ; invention

inverse ; reverse /  reversed

investir ; invest

invitation ; invitation

inviter ; invite

invoquer ; invoke ; appeal to /  invoke

invraisemblable ; incredible

inédit ; original

iode ; iodine

irakien ; Iraqi /  Iraquian

iranien ; Iranian

iris ; iris

irlandais ; Irish

ironie ; irony

irriter ; abet /  excite /  incite /  provoke /  rouse /  stimulate /  stir up

islam ; Islam

islandais ; Icelandic

isoler ; insulate /  isolate /  seclude

issue ; exit /  way out

italien ; Italian

itinéraire ; route

ivoire ; ivory

ivre ; drunk /  intoxicated

ivresse ; drunkenness /  inebriety

jadis ; at some time /  ever /  sometime

jaillir ; gush /  spurt /  spurt out

jaloux ; jealous

jamais ; never

jambe ; leg ; leg /  paw

jambon ; ham

janvier ; January

japonais ; Japanese ; Japanese /  Japanese language

jardin ; garden

jardinage ; gardening

jardinier ; gardener

jaser ; gossip

jaune ; yellow

javanais ; Javan /  Javanese

je ; I

jeter ; spit ; throw

jeu ; game

jeudi ; Thursday

jeune ; young

jeune fille ; girl /  lass /  wench

jeûner ; fast

je vous demande pardon ; excuse me

joie ; gladness /  joy

joindre ; add ; adjust /  put right ; join /  unite ; connect /  join ; put together ; link together /  link up

joint ; seam

joli ; pretty

joncher ; sprinkle /  strew

jonc odorant ; calamus

jongler ; juggle

joue ; cheek

jouer ; act ; play

jouir ; delight in /  enjoy

jouir de ; delight in /  enjoy

jour ; day

journal ; gazette /  magazine /  newspaper /  periodical ; daily paper /  journal /  newspaper

journalier ; daily

journaliste ; journalist ; journalist /  female journalist ; journalist

journellement ; daily

journée ; day

jour de l'an ; New Year ; New Year's Day

jour férié ; holiday

joyeux ; cheerful /  gay /  merry ; happy /  glad

juge ; judge

jugement ; adjudication /  trial

juger ; judge

juillet ; July

juin ; June

jumeau ; twin

jumeaux ; twins

jumelles ; binoculars

jungle ; jungle

jupe ; skirt

jurer ; swear

jus ; juice /  sap

jusqu'à ; until /  till

juste ; fair /  just /  righteous ; correct /  exact /  proper /  right

justement ; exactly ; exactly /  sharp ; just /  just now

j' ; I

kenyan ; Kenyan

kermesse ; fair

khmer ; Cambodian

kilobyte ; kilobyte

kilogramme ; kilo

kilomètre ; kilometre

kimono ; kimono

kiosque ; barn /  shed /  stand

krypton ; krypton

kurde ; Kurdish

la ; the ; it ; her

laboratoire ; laboratory

laborieux ; diligent /  hardworking /  industrious ; active /  hardworking

labourer ; plough

laboureur ; farmer

lac ; lake /  loch

lacet ; shoe‐lace

lacs de la Frontière ; Boundary Lakes

lac Athabasca ; Lake Athabasca

lac Champlain ; Lake Champlain

lac Clarice ; Clarice Lake

lac Donquan ; Donquan Lake

lac Fonteneau ; Fonteneau Lake

lac Gaillot ; Gaillot Lake

lac Holden ; Holden Lake

lac Huron ; Lake Huron

lac Kingroy ; Kingroy Lake

lac Labyrinthe ; Labyrinth Lake

lac Mabille ; Mabille Lake

lac Michigan ; Lake Michigan

lac Nipigon ; Nipigon Lake

lac Norman ; Norman Lake

lac Ontario ; Lake Ontario

lac Ross ; Ross Lake

lac Sainte‐Clair ; Lake Saint Clair

lac Supérieur ; Lake Superior

lac Sénécal ; Sénécal Lake

lac Témiscamingue ; Lake Timiskaming

lac Winnipeg ; Lake Winnipeg ; Lake Winnipegosis

lac aux Allumettes ; Allumette Lake

lac des Bois ; Lake of the Woods

lac des Marets ; Cheeseman Lake

lac à la Pluie ; Rainy Lake

lagune ; lagoon

laid ; nasty /  ugly

laine ; wool

laisser ; allow /  leave /  let /  release

lait ; milk

laiton ; brass

laitue ; lettuce

lambeau ; rag /  scrap

lambris ; dash‐board /  panel /  wainscot

lame ; blade ; razor

lamentable ; miserable

lame tranchante ; blade

lamier ; dead‐nettle

lampe ; lamp

lancer ; launch

langage ; speech

langue ; tongue ; language /  tongue

langue allemande ; German /  German language

langue anglaise ; English /  English language

langue espagnole ; Spanish /  Spanish language

langue française ; French /  French language

langue gaélique ; Gaelic /  Gaelic language

langue hawaiienne ; Hawaiian /  Hawaiian language

langue hébraïque ; Hebrew /  Hebrew language

langue japonaise ; Japanese /  Japanese language

langue portugaise ; Portuguese /  Portuguese language

langue russe ; Russian /  Russian language

langue tchèque ; Czech /  Czech language

lanière ; strap

lanterne ; lantern

laotien ; Laotian

lapin ; rabbit

lapon ; Lapp /  Lappish

lard ; bacon

large ; ample /  bulky /  extensive ; broad ; extensive /  spacious /  vast /  wide

largement ; abundantly ; widely

largeur ; width

larme ; tear

larve ; grub /  larva

las ; tired

lasser ; bore

latin ; Latin

laurier ; laurel

lavande ; lavender

laver ; wash

laïc ; layman

laïque ; lay

la Manche ; Channel /  English Channel

le ; the ; him ; it

lecteur ; reader

lent ; slow

lentement ; leasurely /  slowly

lentille ; lentil

les ; them ; the

lessive ; lye

lest ; ballast

les deux ; both

letton ; Latvian /  Lettish

lettre ; letter

lettre de créance ; credential

lettre de recommandation ; letter of introduction /  letter of recommendation

lettre de relance ; dunning‐letter

lettre recommandée ; registered letter

leur ; them /  to them ; their ; her /  his /  its /  their

lever ; lever /  lift /  raise

levier ; crowbar

leçon ; class /  course ; lesson

le matin ; in the morning

le mieux ; preferably /  rather

le néant ; nothing

le plus ; most

le soir ; in the evening

libanais ; Lebanese

libellule ; dragonfly

liber ; bast

liberté ; freedom

libraire ; bookseller

librairie ; bookshop /  bookstore

libyen ; Libyan

libérer ; release

libérien ; Liberian

licence ; licence /  license ; permission

licencier ; discharge /  dismiss /  fire /  sack

lien ; bond /  tie

lier ; tie on

lierre ; ivy

lieu ; inducement /  motive /  occasion ; location /  place /  spot

lieue ; league

lieutenant ; lieutenant

ligne ; line

ligue ; connection /  league

lilas ; lilac

limace ; slug

limaçon ; snail

lime ; file

limer ; file

limite ; boundary /  frontier /  limit

limiter ; abridge /  confine /  limit /  restrict

limpide ; clear /  distinct /  plain ; transparant

lin ; flax

linge ; cloth

lion ; lion

liquide ; liquid

liquider ; liquidate

lire ; read ; lira

lis ; lily

liseron ; bindweed

lisière ; border ; border /  brim /  brink /  edge /  edging /  fringe /  rim

lisse ; smooth

liste ; nomination /  recommendation ; list ; index /  table /  tablet /  tabulation

liste de candidats ; nomination /  recommendation

liste de présentation ; nomination /  recommendation

liste d'adresses ; address list

lis des marais ; calamus

lit ; bed

lithium ; lithium

litre ; liter /  litre

littéralement ; verbatim /  word‐for‐word

littérature ; literature

lit d'accouchement ; childbed

livonien ; Livonian

livre ; book

livrer ; accuse /  denounce ; abandon /  forsake /  desert /  leave /  quit ; deliver /  furnish /  supply

liège ; cork

lièvre ; hare

local ; place ; local ; regional ; chamber /  room

localité ; location /  place /  spot ; abode /  dwelling‐place‐residence ; town ; village

locataire ; renter /  tenant

locomotive ; engine

locution ; expression

logement ; abode /  accommodation /  dwelling /  residence

loger ; dwell /  live

logique ; consistent ; logical ; logic

logis ; abode /  accommodation /  dwelling /  residence

loi ; law

loin ; away ; distant /  far /  remote

lointain ; distant /  far /  remote

loisirs ; spare time /  time off /  vacation

lombes ; loin

lombric ; earthworm

long ; long

longtemps ; a long time /  for a long time /  long

longuement ; a long time /  for a long time /  long

longueur ; length

lors ; for /  during /  whereas /  while /  whilst ; on the occasion of

lorsque ; when

loterie ; lottery /  raffle

louange ; praise

loucher ; look askance /  squint

louer ; hire

loup ; wolf

loupe ; magnifying glass

lourd ; burdensome /  heavy /  onerous

lourdement ; hardly /  not easily /  with difficulty

louve ; she‐wolf

loyal ; faithful /  loyal

loyer ; rent /  rent money

lubie ; addiction

lucarne ; porthole /  skylight

lui ; the /  to the ; him /  to him ; it /  to it ; her /  to her ; he /  him ; it

luire ; shine

luisant ; bright /  brilliant

lumineux ; bright /  light

lumière ; light

lundi ; Monday

lune ; moon

lunette ; binocular /  binoculars

lunettes ; glasses /  spectacles

lupanar ; brothel

lupine ; lupine

luter ; fight /  struggle

luth ; lute

lutin ; elf ; fairy ; goblin /  imp

lutter ; struggle /  wrestle

luxe ; luxury

luxembourgeois ; Luxemburg

lycée ; lyceum

lynx ; lynx

lyre ; lyre

l' ; the ; him ; it ; her

l'une et l'autre ; both

l'un et l'autre ; both

lécher ; lick

léger ; light

légerement ; a little /  rather

légitime ; legal

légume ; vegetable

léopard ; leopard

lézard ; lizard

lèvre ; lip

lâche ; abject /  base /  low /  nasty /  vile

lâcher ; release

lâcheté ; cowardice

ma ; my

machine ; engine /  machine

machine administrative ; machine of government

machine à adresser ; addressing machine

machine à écrire ; typewriter

macédonien ; Macedonian

madame ; lady ; madam /  Mrs.

mademoiselle ; Miss

maestro ; adept /  maestro /  master

magasin ; boutique /  shop /  store ; shop /  store

magie ; magic

magique ; magical ; magic

magnifique ; lovely ; bright /  brilliant ; grand /  grandiose /  magnificent /  superb ; resplendant

magnésium ; magnesium

magnétophone ; tape‐recorder

magnétoscope ; video recorder /  video‐recorder

mai ; May

maigre ; gaunt /  lean /  meager /  skimpy /  skinny /  thin ; gaunt /  thin

maille ; loop /  mesh

maillet ; mallet

maillot de bain ; bathing suit /  bathing‐suit

maillot de corps ; vest

main ; hand

maint ; a lot of /  much

maintenant ; at present /  now

maintenir ; continue /  go on /  proceed with ; conserve /  keep /  maintain /  preserve ; abet /  support /  sustain

maire ; mayor ; burgomaster /  mayor /  provost

mais ; but

maison ; house

maison close ; brothel

maison de repos ; resting‐place

maitriser ; exceed /  surpass

majesté ; majestic ; majesty

majeur ; important /  serious ; considerable /  sizable ; adult /  grown‐up /  full‐grown

majorité ; majority

majuscule ; capital letter

mal ; ache /  pain ; pity ; bad /  miserable /  nasty /  poor ; badly

malade ; ill /  sick

maladroit ; awkward

malais ; Malay

malaisien ; Malaysian

malard ; drake

malaria ; malaria

malentendu ; misunderstanding

malgré ; despite /  in spite of /  notwithstanding

malheureusement ; alas /  regrettably /  unfortunately ; unfortunately

malheureux ; dismal /  miserable /  pitiful /  poor ; unhappy ; poor

malin ; vicious ; airy‐fairy /  frolic /  frolicsome /  petulant ; clever /  cunning /  sly /  smart

malle ; trunk

malsain ; abandoned /  nasty ; ill /  sick

maltais ; Maltese

maltraiter ; abuse

mal de l'air ; airsickness

mal de mer ; seasickness

maman ; mam /  mammy /  mom /  mommy

mamelle ; breast /  teat

mamelon ; nipple

mammifère ; mammal

manche ; sleeve

manchette ; cuff

mandarine ; tangerine

mandat‐poste ; money order

mandat ; mandate

mandchou ; Manchurian

manie ; addiction

manier ; handle /  manipulate

manifestation ; demonstration

manifester ; demonstrate /  manifest /  show

maniéré ; affected

manière ; manner /  mode /  way

manière d'être ; condition /  state

manne ; manna

manque ; absence /  lack /  shortage /  shortcoming

manquer ; miss ; be lacking /  be missing ; miss

mansarde ; attic /  garret

manteau ; cloak /  mantle ; coat /  overcoat

manœuvre ; maneuver /  manœuvre /  manoeuvre

manœuvrer ; manoeuvre

maquereau ; mackerel

maquillage ; make up /  make‐up

maquiller ; make up

marais ; marsh /  swamp

marbre ; marble

marchand ; merchant ; salesman

marchander ; bargain /  haggle

marchandise ; merchandise /  wares ; commodity /  merchandise /  wares

marche ; stair /  step /  rung

marcher ; march /  walk

marcher dans l'eau ; wade

marcher sur ; trample on /  tread

marché ; bazaar /  fair /  market ; market /  sales activity ; market /  marketplace

mardi ; Tuesday

marge ; margin

marguerite ; marguerite

mari ; husband

mariage ; marriage /  matrimony ; marriage

marier ; marry /  wed ; marry /  be married /  get married

marin ; maritime /  sea /  sea‐ /  of the sea ; sailor

marionnette ; doll /  puppet

marié ; married

mariée ; married

mariés ; married

mari et femme ; couple /  married people

mark ; mark

marocain ; Moroccan

marque ; mark

marquer ; mark ; indicate /  point out /  show

marron ; chestnut

marronnier ; chestnut‐tree

mars ; March

marsouin ; porpoise

marte ; marten

marteau ; hammer

martin‐pêcheur ; halcyon /  kingfisher

martre ; marten

martyr ; martyr

martyre ; martyr /  female martyr

marécage ; marsh /  swamp

marée ; tide

marée basse ; low tide

marée haute ; high tide

masque ; mask

massacrer ; massacre

masse ; accumulation /  crowd /  heap /  mass /  multitude /  pile ; lump /  mass

masser ; massage

massif ; massive ; mountain chain

massif de montagnes ; mountain chain

matelas ; mattress

mathématique ; mathematical

mathématiques ; mathematics

matin ; morning

matinée ; morning

matière ; matter

matière plastique ; plastic

matériau ; data /  material

matériel ; material

maudire ; curse

maure ; Moorish /  Moresque

mauritanien ; Mauretanian

maussade ; boring /  stodgy ; brutal /  gruff /  harsh /  rough /  sour /  surly /  unkind /  unpleasant ; bleak /  dismal /  dreary /  horrible /  ghastly /  grisly /  nasty ; cross /  peevish /  pettish /  petulant ; bleak /  dismal /  dreary /  gaunt /  miserable /  sad /  somber

mauvais ; rotten /  ugly ; bad /  miserable /  nasty /  poor ; bad

maximum ; maximum

maïs ; corn /  Indian corn /  maize /  mealies

maître ; adept /  maestro /  master ; boss /  master

maîtresse ; lover ; mistress

maçon ; mason

maçonner ; build

me ; me /  to me ; me

meilleur ; better

melon ; melon

melon d'eau ; water‐melon

membre ; limb /  member

menace ; menace /  threat

menacer ; menace /  threaten

mendiant ; beggar

mendier ; beg

mener ; conduct /  guide /  lead

mensonge ; lie

mensuel ; monthly

mensuellement ; monthly

mental ; mental ; lively /  witty

menthe ; mint

mentionner ; mention

mentir ; lie /  tell a lie

menton ; chin

menu ; menu

mer ; sea

merci ; thank you /  thanks

mercredi ; Wednesday

mercure ; mercury /  quicksilver

merle ; blackbird

merveilleux ; wonderful

mer Adriatique ; Adriatic /  Adriatic Sea

mer Baltique ; Baltic Sea

mer Caspienne ; Caspian Sea

mer Egée ; Aegean /  Aegean Sea

mer Tyrrhénienne ; Tyrrhenian Sea

mer de Beaufort ; Beaufort Sea

mer du Labrador ; Labrador Sea

mer du Nord ; North Sea

mer d'Irlande ; Irish Sea

mes ; my

message ; errand /  message

messager ; advertiser ; courier

mesure ; measure /  measurement ; musical time /  tact

mesurer ; measure

mesure de largeur ; width

mettre ; insert /  put in /  put away /  stow ; lay down /  place /  put /  put down ; put on

mettre au monde ; bear /  give birth to

mettre d'accord ; bring into agreement

mettre en adjudication ; invite tenders for /  put out to tender

mettre en place de ; replace /  substitute

mettre à l'entreprise ; invite tenders for /  put out to tender

meuble ; piece of furniture

meubler ; furnish

meunier ; miller

meurtrier ; deadly ; murderer

mexicain ; Mexican

mica ; mica

microbe ; germ /  microbe

micromètre ; micrometre

microsillon ; LP

midi ; midday /  noon

miel ; honey

miette ; crumb

mieux ; preferably ; preferably /  rather

mignon ; pretty ; graceful ; charming /  lovely

milan ; kite

milieu ; inside ; environment ; average /  mean /  middle

militaire ; warrior

mille ; thousand /  one thousand

millimètre ; millimetre

minauderie ; affectation

mince ; gaunt /  lean /  slender /  thin

mine ; expression

miner ; subvert /  undermine

minerai ; ore

mineur ; insignificant /  trifling ; miner ; unimportant

minimum ; minimum

miniscule ; tiny

ministre ; minister

ministère ; ministry

minorité ; minority

minuscule ; lower case letter /  small letter

minute ; minute

minéral ; mineral

miracle ; miracle

miroir ; looking‐glass /  mirror

mission ; mission

missionnaire ; missionary

misérable ; dismal /  miserable /  pitiful /  poor ; abject /  dismal /  meager /  miserable /  wretched

misère ; misery

mite ; moth

mobile ; prompt ; mobile

mobilier ; furniture ; mobile

mode ; fashion /  mode

modeler ; model /  mold /  mould

moderne ; fashionable ; modern

modeste ; modest

modestie ; humility ; modesty

modifier ; modify

modiste ; milliner

modéré ; moderate /  reasonable

modèle ; model ; type ; pattern /  stencil /  template /  templet

moi ; me /  to me ; me ; I ; 10.I ; 11.I

moine ; monk

moineau ; sparrow

moins ; minus

mois ; month

moisi ; mouldy /  musty

moisir ; get mouldy

moisson ; harvest

moitié ; half

moldave ; Moldavian

mollet ; calf

moluquois ; Moluccan

moment ; instant /  moment

mon ; my

monde ; world

monnaie ; money ; change

monopoliser ; corner /  monopolize

monotone ; monotonous

monseigneur ; monsignor

monstre ; monster

mont ; mountain

montage ; assemblage /  assembly /  composing /  erecting /  fitting up /  mounting

montagne ; mountain chain ; mountain

montagnes Rocheuses ; Rocky Mountains

montant ; amount /  sum

monter ; get in /  get into a car ; assemble /  link /  mount ; ascend /  climb /  scale

monter à bicyclette ; ride

monter à cheval ; ride

monter à l'abordage ; hitch on /  hook on

montre ; watch /  wrist‐watch ; watch

montrer ; indicate /  point out /  show

monts Torngat ; Torngat Mountains

monténégrin ; Montenegrin

mont Cervin ; Matterhorn

mont d'Iberville ; Mount Caubvick

monument ; monument

monégasque ; Monegasque

moral ; fair /  just /  righteous ; moral

morale ; morals

morceau ; bit /  lump /  piece

mordre ; bite

morne ; desolate /  dismal /  dreary /  gaunt /  gloomy /  mournful

morphine ; morphia /  morphine

morpion ; naughty boy /  pickle

mort ; death

mortel ; deadly

mortier ; morter

morue ; cod /  codfish

moscovite ; Muscovite

mosquée ; mosque

mot ; word

moteur ; engine /  motor

motif ; account /  reason ; account /  motive /  reason

motion ; motion /  resolution

moto ; motorcycle

mou ; soft

mouche ; fly /  housefly

mouchoir ; handkerchief

moudre ; grind /  pulverize

mouette ; seagull

mouiller ; wet

moule ; mussel

mourir ; die /  expire /  pass away

mousquet ; musket

mousse ; moss

moustache ; moustache

moustique ; gnat ; mosquito

moutarde ; mustard

mouton ; mutton ; sheep

mouvement ; movement

mouvoir ; actuate /  move

moyen ; means /  remedy /  resources

moyenne ; average ; average /  mean ; average

moyeu ; hub /  nave

muet ; dumb /  mute /  speechless

mugir ; howl /  roar

muguet ; lily‐of‐the‐valley

mulet ; mule

multicolore ; multicoloured

multiple ; multiple

multitude ; accumulation /  crowd /  heap /  mass /  multitude /  pile

munir ; provide /  supply

munitions ; munition /  ammunition

mur ; wall

murmure ; murmur

murmurer ; murmur /  mutter

muscle ; muscle

muselière ; muzzle

musicien ; musician

musique ; music

musée ; museum

mutiler ; top /  truncate

mutilé ; disabled person

myope ; near‐sighted /  short‐sighted

myosotis ; forget‐me‐not

myriapode ; centipede

myrrhe ; myrrh

myrtille ; blueberry

mysticisme ; mysticism

mystification ; mystification

mystifier ; fool /  hoax /  mystify /  trick ; bilk /  cheat /  take in

mystique ; mystic /  mystical ; mystic

mystérieux ; abstruse /  mysterious

mystère ; mystery

mythe ; myth

mythique ; mythical

mythologie ; mythology

mythologue ; mythologist

myxomatose ; myxomatosis

m' ; me /  to me ; me

mœlleux ; soft

mécanicien ; mechanic

mécanicien aéronautique ; flight engineer /  flight mechanic

mécanique ; mechanics

méchant ; cruel ; bad /  miserable /  nasty /  poor ; malicious /  mischievous /  nasty /  vicious

méconnaître ; ignore /  leave out of account

mécontent ; discontented /  displeased /  dissatisfied

médaille ; medal

médecin ; doctor /  physician

méditer ; meditate /  think to oneself

méduse ; jelly‐fish

méfiance ; suspicion

méfiant ; suspicious

mégère ; cat

mélancolie ; melancholy

mélancolique ; bleak /  dismal /  dreary /  gaunt /  melancholy

mélange ; admixture

mélanger ; blend /  mingle /  mix /  shuffle

mélanésien ; Melanesian

mélodie ; air /  aria ; melody /  tune

mélèze ; larch

mémoire ; memory /  recollection

ménager ; begrudge /  regret

mépriser ; despise

mérite ; value /  worth ; merit

mériter ; be worthy of /  deserve /  merit

mésange ; titmouse

métal ; metal

métamorphose ; metamorphosis /  recreation /  regeneration /  transformation

méthode ; method

métier ; handicraft /  occupation /  trade

métro ; subway /  underground

mèche ; fuse /  wick

mère ; mother

mètre ; metre

mâcher ; chew

mâchoire ; jaw /  jawbone

mâle ; male /  masculine ; fellow /  man

mât ; mast

mêler ; blend /  mingle /  mix /  shuffle

même ; even ; self /  herself /  himself /  itself ; same

mûr ; mature /  ripe ; adult /  full‐grown

mûre sauvage ; blackberry /  blackberry bush /  bramble

mûrier ; mulberry‐tree

mûrir ; ripen

nageoire ; fin

nager ; float /  swim

nain ; dwarf /  midget

naissance ; birth

napolitain ; Neapolitan

nappe ; table‐cloth

nappe de table ; table‐cloth

narcisse ; daffodil /  narcissus

nation ; nation

national ; national

natter ; braid /  plait /  twine /  wreathe

nature ; nature

naturel ; congenital /  inborn /  inbred /  innate /  native ; congentital /  inborn /  inbred /  innate /  native ; natural

naturellement ; of course ; naturally

naufrage ; shipwreck

navet ; turnip

naviguer ; navigate

navire ; ship /  vessel

naïf ; naïf /  naïve

naître ; arise /  be born

necessaire ; necessary

neige ; snow

neiger ; snow

nerf ; nerve

nerveux ; agitated /  nervous

net ; clear /  distinct /  plain

neuf ; nine

neutre ; impartial /  neutral

neveu ; nephew

nez ; nose

nez aquilin ; aquiline nose

ne guère ; barely /  hardly /  only just /  scarcely

ne jamais ; never

ne nullement ; not at all

ne pas ; not

ne plus ; no longer

ne que ; exclusively /  just /  only

ne pas s'éteindre ; stay on

nicaraguayen ; Nicaraguan

niche ; niche

nicher ; nest

nickel ; nickel

nid ; den /  nest

nier ; deny

nigérian ; Nigerian

nigérien ; Nigerien

niveau ; level

nièce ; niece

ni ni ; neither ... nor

noble ; nobleman ; noble

noce ; dissipation /  debauchery

noir ; black

noisette ; hazelnut

noix ; walnut ; nut

nom ; appellation /  name

nombre ; amount /  number

nombreux ; many

nombril ; navel

nommer ; call

non ; no

nord‐coréen ; North Korean

nord ; north /  North

nordafricain ; North African

normal ; normal

normand ; Norman

norvégien ; Norwegian

norvégienne ; Norwegian woman

nostalgie ; nostalgia

notaire ; notary

note ; account /  bill /  calculation

noter ; note /  make a note /  write down

notion ; notion

nouer ; tie on ; bind /  connect /  join /  tie /  tie up ; knot

nourrir ; feed /  nourish

nourriture ; food ; food /  nourishment

nous ; us /  to us ; us /  we ; us

nouveau ; new /  novel

nouvelle ; short story

novembre ; November

noyau ; core /  nucleus /  kernel /  pit

noyer ; drown ; walnut‐tree

nu ; bare /  naked /  nude

nuage ; cloud

nuance ; hue /  nuance /  shade /  tint

nucléaire ; nuclear

nuire ; harm

nuisible ; adverse /  harmful ; harmful

nuit ; night

nul ; neither /  nobody /  none /  no‐one ; worthless

nulle part ; nowhere

numéro ; number /  numeral

nuque ; back of the neck /  nape

nurembergeois ; Nuremberg

nylon ; nylon

nymphe ; nymph

nymphéa ; waterlily

n'est‐ce pas ; isn't it /  isn't that so /  or not

n'importe ; at all /  ‐ever

nœud ; knot /  node

néanmoins ; but /  however /  nevertheless /  yet

nécessaire ; necessary

nécessité ; necessity

néerlandais ; Dutch ; Dutch /  Dutch language

négligence ; carelessness /  negligence /  remissness

négligent ; careless /  neglectful /  negligent /  remiss

négliger ; neglect

négociant ; businessman /  merchant

nématode ; nematode

néo‐zélandais ; New Zealand

néon ; neon

népalais ; Nepalese

névralgie faciale ; face‐ache /  tic douloureux

nègre ; Negro

oasis ; oasis

objet ; article /  object /  thing

obligatoire ; compulsory

obliger ; compel /  force ; force /  impose

obliger à ; compel /  force

oblique ; oblique /  slanting

obscur ; dark /  dim ; obscure

obscurité ; darkness /  murk

observation ; admonition /  exhortation ; observation ; notice /  observation

observer ; keep /  mind /  observe

obstacle ; obstacle

obstiné ; obstinate /  stubborn

obséder ; obsess

obsèques ; burial /  funeral /  interment

obtenir ; get

obtus ; dull /  obtuse

obéir ; obey

obéissance ; manageability /  tractability

obéissant ; obedient

